source_role,source_title,target_role,target_plugin,status,changes
intake_orchestrator,Task Intake Orchestrator,intake_orchestrator,cpt-core,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
team_architect,Team Architect,team_architect,cpt-core,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
delivery_manager,Delivery Manager,delivery_manager,cpt-core,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
chronicle_keeper,Chronicle Keeper,chronicle_keeper,cpt-core,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
consistency_auditor,Consistency Auditor,consistency_auditor,cpt-core,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
ai_workflow_auditor,AI Workflow Auditor,ai_workflow_auditor,cpt-core,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
product_strategist,Product Strategist,product_strategist,cpt-product-research,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
market_researcher,Market Researcher,market_researcher,cpt-product-research,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
ux_researcher,UX Researcher,ux_researcher,cpt-product-research,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
cx_researcher,CX Researcher,cx_researcher,cpt-product-research,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
business_analyst,Business Analyst,business_analyst,cpt-product-research,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
domain_expert,Domain Expert,domain_expert,cpt-product-research,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
growth_activation_strategist,Growth & Activation Strategist,growth_activation_strategist,cpt-product-research,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
product_designer,Product Designer,product_designer,cpt-design-ui,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
service_designer,Service Designer,service_designer,cpt-design-ui,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
information_architect,Information Architect,information_architect,cpt-design-ui,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
ux_interaction_reviewer,UX Interaction Reviewer,ux_interaction_reviewer,cpt-design-ui,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
ux_writer,UX Writer,ux_writer,cpt-design-ui,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
design_system_guardian,Design System Guardian,design_system_guardian,cpt-design-ui,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
design_engineer,Design Engineer,design_engineer,cpt-design-ui,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
visual_design_director,Visual Design Director,visual_design_director,cpt-design-ui,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
accessibility_specialist,Accessibility Specialist,accessibility_specialist,cpt-design-ui,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
data_visualization_designer,Data Visualization Designer,data_visualization_designer,cpt-design-ui,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
conversation_designer,Conversation Designer,conversation_designer,cpt-design-ui,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
localization_specialist,Localization Specialist,localization_specialist,cpt-design-ui,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
solution_architect,Solution Architect,solution_architect,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
frontend_architect,Frontend Architect,frontend_architect,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
backend_architect,Backend Architect,backend_architect,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
mobile_architect,Mobile Architect,mobile_architect,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
api_contract_guardian,API Contract Guardian,api_contract_guardian,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
data_architect,Data Architect,data_architect,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
analytics_engineer,Analytics Engineer,analytics_engineer,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
ai_ml_systems_architect,AI/ML Systems Architect,ai_ml_systems_architect,cpt-ai-agentic,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
model_evaluation_specialist,Model Evaluation Specialist,model_evaluation_specialist,cpt-ai-agentic,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
ai_safety_reviewer,AI Safety Reviewer,ai_safety_reviewer,cpt-ai-agentic,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
security_reviewer,Security Reviewer,security_reviewer,cpt-risk-operations,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
privacy_compliance_reviewer,Privacy & Compliance Reviewer,privacy_compliance_reviewer,cpt-risk-operations,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
performance_engineer,Performance Engineer,performance_engineer,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
dependency_curator,Dependency Curator,dependency_curator,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
migration_planner,Migration Planner,migration_planner,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
devops_release_engineer,DevOps & Release Engineer,devops_release_engineer,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
observability_engineer,Observability Engineer,observability_engineer,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
incident_investigator,Incident Investigator,incident_investigator,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
experimentation_specialist,Experimentation Specialist,experimentation_specialist,cpt-product-research,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
customer_support_analyst,Customer Support Analyst,customer_support_analyst,cpt-product-research,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
qa_engineer,QA Engineer,qa_engineer,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
code_reviewer,Code Reviewer,code_reviewer,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
refactoring_specialist,Refactoring Specialist,refactoring_specialist,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
technical_writer,Technical Writer,technical_writer,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
frontend_engineer,Frontend Engineer,frontend_engineer,cpt-engineering,retained_rewritten,role kept as logical accountability lens; decision rights and evidence obligations made explicit; canonical skills and gates mapped; deep role-specific method reference added; worker eligibility separated from role identity
