role_id,primary_plugin,required_skills,optional_skills
intake_orchestrator,cpt-core,cpt-task-planning,cpt-product-scope;cpt-cross-cutting-risk;cpt-runtime
team_architect,cpt-core,cpt-task-planning,cpt-delegation;cpt-framework-audit;cpt-cross-cutting-risk
delivery_manager,cpt-core,cpt-task-planning,cpt-production-readiness;cpt-migration-plan;cpt-runtime
chronicle_keeper,cpt-core,cpt-runtime;cpt-knowledge-lifecycle,cpt-task-planning
consistency_auditor,cpt-core,cpt-framework-audit,cpt-implementation-review;cpt-knowledge-lifecycle
ai_workflow_auditor,cpt-core,cpt-framework-audit,cpt-task-planning;cpt-knowledge-lifecycle;cpt-delegation
product_strategist,cpt-product-research,cpt-product-scope,cpt-market-research;cpt-ux-research;cpt-analytics-measurement;cpt-opportunity-ideation
market_researcher,cpt-product-research,cpt-market-research;cpt-evidence-research-plan,cpt-product-scope;cpt-opportunity-ideation
ux_researcher,cpt-product-research,cpt-ux-research;cpt-evidence-research-plan,cpt-customer-journey;cpt-experiment-design;cpt-product-scope
cx_researcher,cpt-product-research,cpt-customer-journey;cpt-evidence-research-plan,cpt-ux-research;cpt-product-scope;cpt-analytics-measurement
business_analyst,cpt-product-research,cpt-product-scope;cpt-information-architecture,cpt-api-contract;cpt-data-architecture;cpt-interaction-state-model
domain_expert,cpt-product-research,cpt-evidence-research-plan,cpt-product-scope;cpt-data-architecture;cpt-api-contract
growth_activation_strategist,cpt-product-research,cpt-growth-activation;cpt-analytics-measurement,cpt-experiment-design;cpt-product-scope;cpt-content-design
product_designer,cpt-design-ui,cpt-screen-module-design;cpt-interaction-pattern-selection;cpt-interaction-state-model,cpt-form-task-flow-design;cpt-professional-data-interface-design;cpt-design-execution-orchestration;cpt-design-recon;cpt-information-architecture;cpt-content-design;cpt-data-visualization-review;cpt-design-system-governance;cpt-reference-taste-calibration;cpt-visual-acceptance-review
service_designer,cpt-design-ui,cpt-customer-journey;cpt-product-scope,cpt-information-architecture;cpt-cross-cutting-risk;cpt-analytics-measurement
information_architect,cpt-design-ui,cpt-information-architecture,cpt-ux-research;cpt-content-design;cpt-data-architecture
ux_interaction_reviewer,cpt-design-ui,cpt-interaction-state-model;cpt-visual-acceptance-review,cpt-ux-research;cpt-accessibility-review;cpt-content-design
ux_writer,cpt-design-ui,cpt-content-design,cpt-conversation-design;cpt-reference-taste-calibration;cpt-accessibility-review
design_system_guardian,cpt-design-ui,cpt-design-system-governance,cpt-design-system-code-audit;cpt-design-recon;cpt-visual-acceptance-review
design_engineer,cpt-design-ui,cpt-frontend-integration;cpt-visual-acceptance-review,cpt-design-system-governance;cpt-accessibility-review;cpt-reference-taste-calibration
visual_design_director,cpt-design-ui,cpt-reference-taste-calibration;cpt-visual-acceptance-review,cpt-screen-module-design;cpt-design-system-governance
accessibility_specialist,cpt-design-ui,cpt-accessibility-review,cpt-visual-acceptance-review;cpt-design-system-governance
data_visualization_designer,cpt-design-ui,cpt-data-visualization-review,cpt-analytics-measurement;cpt-accessibility-review;cpt-screen-module-design
conversation_designer,cpt-design-ui,cpt-conversation-design,cpt-content-design;cpt-ai-system-plan;cpt-ai-safety-review;cpt-model-evaluation
localization_specialist,cpt-design-ui,cpt-content-design,cpt-accessibility-review;cpt-design-system-governance
solution_architect,cpt-engineering,cpt-architecture-plan,cpt-cross-cutting-risk;cpt-performance-review;cpt-observability-plan;cpt-migration-plan
frontend_architect,cpt-engineering,cpt-architecture-plan;cpt-frontend-integration,cpt-performance-review;cpt-design-system-governance;cpt-api-contract;cpt-refactor-plan
backend_architect,cpt-engineering,cpt-architecture-plan;cpt-api-contract,cpt-data-architecture;cpt-observability-plan;cpt-performance-review;cpt-threat-model
mobile_architect,cpt-engineering,cpt-architecture-plan,cpt-frontend-integration;cpt-api-contract;cpt-performance-review;cpt-production-readiness
api_contract_guardian,cpt-engineering,cpt-api-contract,cpt-architecture-plan;cpt-data-architecture;cpt-frontend-integration
data_architect,cpt-engineering,cpt-data-architecture,cpt-api-contract;cpt-migration-plan;cpt-privacy-impact;cpt-analytics-measurement
analytics_engineer,cpt-engineering,cpt-analytics-measurement,cpt-data-architecture;cpt-experiment-design;cpt-privacy-impact
ai_ml_systems_architect,cpt-ai-agentic,cpt-ai-system-plan,cpt-model-evaluation;cpt-ai-safety-review;cpt-api-contract;cpt-observability-plan
model_evaluation_specialist,cpt-ai-agentic,cpt-model-evaluation,cpt-ai-system-plan;cpt-ai-safety-review;cpt-experiment-design
ai_safety_reviewer,cpt-ai-agentic,cpt-ai-safety-review,cpt-threat-model;cpt-model-evaluation;cpt-privacy-impact
security_reviewer,cpt-risk-operations,cpt-threat-model,cpt-privacy-impact;cpt-dependency-review;cpt-architecture-plan;cpt-production-readiness
privacy_compliance_reviewer,cpt-risk-operations,cpt-privacy-impact,cpt-data-architecture;cpt-threat-model;cpt-content-design
performance_engineer,cpt-engineering,cpt-performance-review,cpt-observability-plan;cpt-frontend-integration;cpt-architecture-plan
dependency_curator,cpt-engineering,cpt-dependency-review,cpt-threat-model;cpt-migration-plan;cpt-architecture-plan
migration_planner,cpt-engineering,cpt-migration-plan,cpt-data-architecture;cpt-api-contract;cpt-production-readiness;cpt-observability-plan
devops_release_engineer,cpt-engineering,cpt-production-readiness,cpt-observability-plan;cpt-migration-plan;cpt-dependency-review
observability_engineer,cpt-engineering,cpt-observability-plan,cpt-performance-review;cpt-incident-review;cpt-production-readiness
incident_investigator,cpt-engineering,cpt-incident-review,cpt-observability-plan;cpt-cross-cutting-risk;cpt-knowledge-lifecycle
