role_id,title,category,legacy_default_execution,legacy_spawn_policy,legacy_load_cost,legacy_primary_task_types
intake_orchestrator,Task Intake Orchestrator,System,system_service,approval-only,tiny,
team_architect,Team Architect,System,system_service,approval-only,tiny,
delivery_manager,Delivery Manager,System,system_service,approval-only,tiny,
chronicle_keeper,Chronicle Keeper,System,system_service,approval-only,tiny,
consistency_auditor,Consistency Auditor,System,system_service,approval-only,tiny,
ai_workflow_auditor,AI Workflow Auditor,System,system_service,approval-only,tiny,
product_strategist,Product Strategist,Product & Discovery,simulated,approval-only,standard,
market_researcher,Market Researcher,Product & Discovery,simulated,approval-only,standard,
ux_researcher,UX Researcher,Product & Discovery,simulated,approval-only,standard,
cx_researcher,CX Researcher,Product & Discovery,simulated,approval-only,standard,
business_analyst,Business Analyst,Product & Discovery,simulated,approval-only,standard,
domain_expert,Domain Expert,Product & Discovery,simulated,approval-only,standard,
growth_activation_strategist,Growth & Activation Strategist,Product & Discovery,simulated,approval-only,standard,
product_designer,Product Designer,Design & UX,simulated,approval-only,standard,ui_design;screen_redesign;product_surface_design
service_designer,Service Designer,Design & UX,simulated,approval-only,standard,
information_architect,Information Architect,Design & UX,simulated,approval-only,standard,
ux_interaction_reviewer,UX Interaction Reviewer,Design & UX,simulated,approval-only,standard,
ux_writer,UX Writer,Design & UX,simulated,approval-only,standard,
design_system_guardian,Design System Guardian,Design & UX,simulated,approval-only,standard,
design_engineer,Design Engineer,Design & UX,simulated,approval-only,standard,ui_fidelity;design_system_implementation;visual_qa
visual_design_director,Visual Design Director,Design & UX,simulated,approval-only,standard,
accessibility_specialist,Accessibility Specialist,Design & UX,simulated,approval-only,standard,
data_visualization_designer,Data Visualization Designer,Design & UX,simulated,approval-only,standard,
conversation_designer,Conversation Designer,Design & UX,simulated,approval-only,standard,
localization_specialist,Localization Specialist,Design & UX,simulated,approval-only,standard,
solution_architect,Solution Architect,Engineering,simulated,approval-only,standard,
frontend_architect,Frontend Architect,Engineering,simulated,approval-only,standard,frontend_architecture;systemic_ui_code_change;routing_state_structure
backend_architect,Backend Architect,Engineering,simulated,approval-only,standard,
mobile_architect,Mobile Architect,Engineering,simulated,approval-only,standard,
api_contract_guardian,API Contract Guardian,Engineering,simulated,approval-only,standard,
data_architect,Data Architect,Engineering,simulated,approval-only,standard,
analytics_engineer,Analytics Engineer,Engineering,simulated,approval-only,standard,
ai_ml_systems_architect,AI/ML Systems Architect,Engineering,simulated,approval-only,standard,
model_evaluation_specialist,Model Evaluation Specialist,Engineering,simulated_or_spawned,approval-only-for-independent-review,standard,
ai_safety_reviewer,AI Safety Reviewer,Engineering,simulated_or_spawned,approval-only-for-independent-review,standard,
security_reviewer,Security Reviewer,Risk & Operations,simulated_or_spawned,approval-only-for-independent-review,standard,
privacy_compliance_reviewer,Privacy & Compliance Reviewer,Risk & Operations,simulated_or_spawned,approval-only-for-independent-review,standard,
performance_engineer,Performance Engineer,Risk & Operations,simulated,approval-only,standard,
dependency_curator,Dependency Curator,Risk & Operations,simulated,approval-only,standard,
migration_planner,Migration Planner,Risk & Operations,simulated,approval-only,standard,
devops_release_engineer,DevOps & Release Engineer,Risk & Operations,simulated,approval-only,standard,
observability_engineer,Observability Engineer,Risk & Operations,simulated,approval-only,standard,
incident_investigator,Incident Investigator,Risk & Operations,simulated_or_spawned,approval-only-for-independent-review,standard,
experimentation_specialist,Experimentation Specialist,Quality & Handoff,simulated,approval-only,standard,
customer_support_analyst,Customer Support Analyst,Quality & Handoff,simulated,approval-only,standard,
qa_engineer,QA Engineer,Quality & Handoff,simulated,approval-only,standard,
code_reviewer,Code Reviewer,Quality & Handoff,simulated,approval-only,standard,
refactoring_specialist,Refactoring Specialist,Quality & Handoff,simulated,approval-only,standard,
technical_writer,Technical Writer,Quality & Handoff,simulated,approval-only,standard,
frontend_engineer,Frontend Engineer,Engineering,simulated,approval-only,standard,ui_implementation;frontend_integration;api_dependent_ui;component_refactor
