priority,stream,work_item,source_surface,action,acceptance
P0,Kernel,Reduce root AGENTS to loader,AGENTS.md,rewrite,Startup context excludes task-specific policy; behavioral startup eval passes
P0,Runtime,Define typed runtime state and lease schemas,CURRENT/TASK_INDEX/approvals,new,Schemas validate and no-active-task state works
P0,Runtime,Implement Micro Change Protocol,AGENTS/complexity policy,new,Micro fixture completes without full ticket and without bypassing risk triggers
P0,Distribution,Split repo scaffold and core plugin,477-file copy model,refactor,Fresh project receives minimal scaffold; core plugin install/uninstall works
P0,Skills,Audit and classify all 95 skills,skill inventory,audit,Every skill has disposition and active metadata budget measured
P0,Skills,Rewrite 44 generic placeholder skills,44 SKILL.md,rewrite,Each critical skill has distinct method/output/failure/eval
P0,Evals,Create executable eval harness,simulations/SIM-*,replace,At least 15 cases execute with trace and forbidden-action grading
P0,Knowledge,Define typed artifact/claim schemas,product templates,rewrite,Schema validates existing/greenfield/redesign artifacts
P0,Recovery,Add pre/post-compaction checkpoint contract,context snapshot docs,implement,"Synthetic compaction preserves task, lease and worker state"
P1,Roles,Preserve and type 50-role registry,roles/playbooks/indexes,refactor,All roles have distinct decision rights and routing metadata
P1,Execution,Replace 50 workers with archetype pack,custom agent TOML,refactor,8-12 workers cover delegation cases with role-lens injection
P1,Execution,Implement timeout/cancel/quorum/worktree policies,subagent docs/config,implement,Timeout and parallel-write fixtures pass
P1,Knowledge,Implement freshness graph and linter,review_trigger prose,implement,Changed fixture files mark only affected artifacts needs-review
P1,Approvals,Implement scoped authorization leases,approval prose,implement,Standard task proceeds within lease; scope expansion prompts once
P1,Enforcement,Move critical rules to hooks/rules/config,prose policies,implement,Negative tests block destructive/broad/out-of-scope actions
P1,Documentation,Remove project-specific terminology from universal examples,all docs/examples,audit,Terminology scanner reports zero forbidden names
P2,Integrations,Add MCP adapter SDK and examples,external services,new,Adapters optional; core fallback tests pass
P2,Observability,Add local trace schema and OTel exporter,diagnostics/evals,new,Local traces work without backend; OTel export optional
P2,Semantic memory,Add optional vector recall adapter,archive search,new,Canonical source verification required; adapter-off fallback passes
P2,Migration,Build 3.x dry-run migrator and rollback,existing archive,new,Sample migration produces mapping report and reversible result
