source_skill,source_lines,source_chars,generic_boilerplate,target_skill,target_plugin,disposition
accessibility-check,54,1194,true,cpt-accessibility-review,cpt-design-ui,merged_rewritten
ai-ml-planning,54,1177,true,cpt-ai-system-plan,cpt-ai-agentic,merged_rewritten
ai-safety-review,54,1183,true,cpt-ai-safety-review,cpt-ai-agentic,retained_rewritten
analytics-planning,54,1153,true,cpt-analytics-measurement,cpt-product-research,merged_rewritten
anticipation-radar,52,1557,false,cpt-opportunity-ideation,cpt-product-research,merged_rewritten
api-contract-review,54,1182,true,cpt-api-contract,cpt-engineering,merged_rewritten
api-data-shape-prewarm,35,1290,false,cpt-api-contract,cpt-engineering,merged_rewritten
architecture-planning,54,1162,true,cpt-architecture-plan,cpt-engineering,merged_rewritten
bounded-discovery,40,1209,false,cpt-task-planning,cpt-core,merged_rewritten
chronicle-compaction,16,351,false,cpt-runtime,cpt-core,merged_rewritten
component-contract-scan,43,1166,false,cpt-design-system-code-audit,cpt-design-ui,merged_rewritten
content-pattern-review,54,1191,true,cpt-content-design,cpt-design-ui,merged_rewritten
content-realism-review,22,715,false,cpt-content-design,cpt-design-ui,merged_rewritten
context-prune,24,909,false,cpt-runtime,cpt-core,merged_rewritten
context-snapshot,19,639,false,cpt-runtime,cpt-core,merged_rewritten
conversation-design,54,1170,true,cpt-conversation-design,cpt-design-ui,retained_rewritten
creative-improvement-loop,59,1525,true,cpt-opportunity-ideation,cpt-product-research,merged_rewritten
creative-tension-review,67,2071,false,cpt-opportunity-ideation,cpt-product-research,merged_rewritten
current-page-ui-review,23,752,false,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten
customer-support-analysis,54,1196,true,cpt-customer-journey,cpt-product-research,merged_rewritten
cx-journey-mapping,54,1163,true,cpt-customer-journey,cpt-product-research,merged_rewritten
data-architecture-review,54,1159,true,cpt-data-architecture,cpt-engineering,merged_rewritten
data-visualization-review,54,1208,true,cpt-data-visualization-review,cpt-design-ui,retained_rewritten
debug-control-review,22,705,false,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten
dependency-review,54,1154,true,cpt-dependency-review,cpt-engineering,retained_rewritten
design-critique,54,1190,true,cpt-reference-taste-calibration,cpt-design-ui,merged_rewritten
design-handoff-qa,50,1325,false,cpt-design-handoff,cpt-design-ui,merged_rewritten
design-qa,62,1569,false,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten
design-recon,68,2002,false,cpt-design-recon,cpt-design-ui,retained_rewritten
design-source-authority,23,902,false,cpt-design-system-governance,cpt-design-ui,merged_rewritten
design-system-compliance,64,1719,false,cpt-design-system-governance,cpt-design-ui,merged_rewritten
design-system-manifest,50,1483,false,cpt-design-system-governance,cpt-design-ui,merged_rewritten
devops-release-planning,54,1154,true,cpt-production-readiness,cpt-engineering,merged_rewritten
ds-code-contract-enforcement,48,1242,false,cpt-design-system-code-audit,cpt-design-ui,merged_rewritten
e2e-visual-state-capture,43,1105,false,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten
example-taste-board,52,1449,false,cpt-reference-taste-calibration,cpt-design-ui,merged_rewritten
expectation-anticipation,76,2682,false,cpt-opportunity-ideation,cpt-product-research,merged_rewritten
experiment-design,54,1142,true,cpt-experiment-design,cpt-product-research,retained_rewritten
external-evidence-protocol,54,1211,true,cpt-evidence-research-plan,cpt-product-research,merged_rewritten
framework-loading,29,930,false,cpt-task-planning,cpt-core,merged_rewritten
frontend-integration-review,17,367,false,cpt-frontend-integration,cpt-engineering,merged_rewritten
greenfield-onboarding,39,1073,false,cpt-knowledge-lifecycle,cpt-core,merged_rewritten
growth-activation-planning,54,1183,true,cpt-growth-activation,cpt-product-research,merged_rewritten
handoff-docs,54,1141,true,cpt-implementation-review,cpt-engineering,merged_rewritten
impact-map,30,1050,false,cpt-task-planning,cpt-core,retained_rewritten
implementation-review,53,1419,false,cpt-implementation-review,cpt-engineering,merged_rewritten
incident-review,54,1160,true,cpt-incident-review,cpt-engineering,retained_rewritten
information-architecture,54,1181,true,cpt-information-architecture,cpt-product-research,retained_rewritten
knowledge-freshness-review,28,749,false,cpt-knowledge-lifecycle,cpt-core,merged_rewritten
knowledge-update,28,810,false,cpt-knowledge-lifecycle,cpt-core,merged_rewritten
localization-review,54,1176,true,cpt-content-design,cpt-design-ui,merged_rewritten
