role_id,required_gates
intake_orchestrator,gate-task-scope;gate-evidence-integrity
team_architect,gate-task-scope;gate-evidence-integrity
delivery_manager,gate-task-scope;gate-production-readiness
chronicle_keeper,gate-knowledge-freshness;gate-evidence-integrity
consistency_auditor,gate-evidence-integrity;gate-knowledge-freshness;gate-verification
ai_workflow_auditor,gate-evidence-integrity;gate-verification;gate-knowledge-freshness
product_strategist,gate-product-value;gate-task-scope;gate-evidence-integrity
market_researcher,gate-research-validity;gate-evidence-integrity;gate-product-value
ux_researcher,gate-research-validity;gate-evidence-integrity
cx_researcher,gate-research-validity;gate-evidence-integrity;gate-product-value
business_analyst,gate-task-scope;gate-evidence-integrity;gate-api-contract
domain_expert,gate-evidence-integrity;gate-product-value;gate-data-integrity
growth_activation_strategist,gate-product-value;gate-analytics-quality;gate-experiment-validity
product_designer,gate-design-quality;gate-product-value;gate-accessibility
service_designer,gate-product-value;gate-evidence-integrity;gate-production-readiness
information_architect,gate-design-quality;gate-content-quality;gate-evidence-integrity
ux_interaction_reviewer,gate-design-quality;gate-verification;gate-accessibility
ux_writer,gate-content-quality;gate-localization-readiness;gate-design-quality
design_system_guardian,gate-design-system-fidelity;gate-design-quality;gate-accessibility
design_engineer,gate-design-system-fidelity;gate-frontend-integration;gate-design-quality;gate-accessibility
visual_design_director,gate-design-quality;gate-design-system-fidelity;gate-accessibility
accessibility_specialist,gate-accessibility;gate-verification
data_visualization_designer,gate-design-quality;gate-analytics-quality;gate-accessibility
conversation_designer,gate-content-quality;gate-ai-quality;gate-ai-safety
localization_specialist,gate-localization-readiness;gate-content-quality;gate-design-quality
solution_architect,gate-architecture;gate-security;gate-production-readiness
frontend_architect,gate-frontend-integration;gate-architecture;gate-performance
backend_architect,gate-architecture;gate-api-contract;gate-security;gate-production-readiness
mobile_architect,gate-architecture;gate-performance;gate-accessibility;gate-production-readiness
api_contract_guardian,gate-api-contract;gate-data-integrity;gate-verification
data_architect,gate-data-integrity;gate-privacy;gate-migration-safety
analytics_engineer,gate-analytics-quality;gate-data-integrity;gate-privacy
ai_ml_systems_architect,gate-ai-quality;gate-ai-safety;gate-security;gate-privacy
model_evaluation_specialist,gate-ai-quality;gate-evidence-integrity;gate-experiment-validity
ai_safety_reviewer,gate-ai-safety;gate-security;gate-privacy
security_reviewer,gate-security;gate-evidence-integrity;gate-production-readiness
privacy_compliance_reviewer,gate-privacy;gate-data-integrity;gate-evidence-integrity
performance_engineer,gate-performance;gate-verification
dependency_curator,gate-security;gate-architecture;gate-verification
migration_planner,gate-migration-safety;gate-data-integrity;gate-production-readiness
devops_release_engineer,gate-production-readiness;gate-migration-safety;gate-security
observability_engineer,gate-production-readiness;gate-incident-learning;gate-performance
incident_investigator,gate-incident-learning;gate-evidence-integrity;gate-knowledge-freshness
experimentation_specialist,gate-experiment-validity;gate-analytics-quality;gate-evidence-integrity
customer_support_analyst,gate-evidence-integrity;gate-product-value;gate-privacy
qa_engineer,gate-verification;gate-accessibility;gate-performance
code_reviewer,gate-verification;gate-api-contract;gate-security
refactoring_specialist,gate-verification;gate-architecture;gate-migration-safety
technical_writer,gate-evidence-integrity;gate-knowledge-freshness;gate-verification
frontend_engineer,gate-frontend-integration;gate-verification;gate-design-system-fidelity;gate-accessibility
