path,category,lines,words,headings,assessment,flags,recommendation
.agents/templates/actual-vs-reference-delta.md,agent_templates,17,37,2,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/anticipation-brief.md,agent_templates,25,34,9,adequate,,Keep; review during 4.0 migration.
.agents/templates/anticipation-proposal.md,agent_templates,14,27,6,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/content-realism-report.md,agent_templates,22,38,6,adequate,,Keep; review during 4.0 migration.
.agents/templates/context-snapshot.md,agent_templates,17,21,9,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/creative-tension-brief.md,agent_templates,15,23,6,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/debug-control-report.md,agent_templates,10,20,3,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/design-diff-summary.md,agent_templates,11,27,10,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/design-recon-brief.md,agent_templates,12,29,11,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/design-source-authority-report.md,agent_templates,28,65,6,adequate,,Keep; review during 4.0 migration.
.agents/templates/developer-rebuild-brief.md,agent_templates,25,50,13,adequate,,Keep; review during 4.0 migration.
.agents/templates/example-taste-board.md,agent_templates,15,30,6,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/memory-integrity-report.md,agent_templates,16,25,8,skeletal-template,custom-chronicle,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/module-design-package.md,agent_templates,41,88,17,adequate,,Keep; review during 4.0 migration.
.agents/templates/planning-brief.md,agent_templates,11,21,10,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/pr-description.md,agent_templates,10,15,9,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/production-readiness-report.md,agent_templates,24,31,12,adequate,,Keep; review during 4.0 migration.
.agents/templates/prototype-ui-kit-contract.md,agent_templates,27,51,12,adequate,,Keep; review during 4.0 migration.
.agents/templates/reference-fidelity-spec.md,agent_templates,56,84,18,adequate,,Keep; review during 4.0 migration.
.agents/templates/review-report.md,agent_templates,9,21,8,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/screen-design-spec.md,agent_templates,20,49,17,adequate,,Keep; review during 4.0 migration.
.agents/templates/screenshot-comparison-report.md,agent_templates,22,38,5,adequate,,Keep; review during 4.0 migration.
.agents/templates/subagent-completion-status.md,agent_templates,6,25,1,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/task-ticket.md,agent_templates,45,69,16,adequate,,Keep; review during 4.0 migration.
.agents/templates/taste-profile.md,agent_templates,28,46,12,adequate,,Keep; review during 4.0 migration.
.agents/templates/taste-review-report.md,agent_templates,22,40,10,adequate,,Keep; review during 4.0 migration.
.agents/templates/ui-fidelity-report.md,agent_templates,12,29,11,skeletal-template,,"Add field semantics, example, required/optional markers, validation, and stop conditions."
.agents/templates/ui-review-packet.md,agent_templates,48,127,7,adequate,,Keep; review during 4.0 migration.
archive/audits/SELF_AUDIT_REPORT.md,archive,34,183,6,adequate,,Keep; review during 4.0 migration.
archive/release-notes/RELEASE_NOTES_2.0.md,archive,13,93,2,adequate,,Keep; review during 4.0 migration.
archive/release-notes/RELEASE_NOTES_2.0_BETA1.md,archive,21,163,4,adequate,,Keep; review during 4.0 migration.
archive/release-notes/RELEASE_NOTES_2.0_BETA2.md,archive,35,151,5,adequate,custom-chronicle,Keep; review during 4.0 migration.
archive/release-notes/RELEASE_NOTES_2.0_BETA4.md,archive,26,111,4,adequate,,Keep; review during 4.0 migration.
archive/release-notes/RELEASE_NOTES_2.1_BETA1.md,archive,29,109,5,adequate,legacy-task-reference;custom-chronicle,Keep; review during 4.0 migration.
archive/release-notes/RELEASE_NOTES_2.1_BETA2.md,archive,17,124,4,adequate,,Keep; review during 4.0 migration.
archive/release-notes/RELEASE_NOTES_2.1_BETA3.md,archive,30,149,4,adequate,,Keep; review during 4.0 migration.
archive/release-notes/RELEASE_NOTES_2.1_BETA4.md,archive,15,105,2,adequate,,Keep; review during 4.0 migration.
audits/AUDIT_CHECKLIST.md,audits,12,65,1,thin-checklist,custom-chronicle,Expand into machine-checkable audit/eval specification with severity and evidence.
audits/MIGRATION_CHECKLIST_2x_TO_3x.md,audits,10,63,1,thin-checklist,,Expand into machine-checkable audit/eval specification with severity and evidence.
docs/AGENT_NAMING_POLICY.md,docs,30,137,5,adequate,,Keep; review during 4.0 migration.
docs/ANTICIPATION_BRANCH.md,docs,67,290,15,adequate,,Keep; review during 4.0 migration.
docs/API_DATA_SHAPE_PREWARM.md,docs,18,90,3,lightweight-policy,,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/BOOTSTRAP_INDEX.md,docs,74,509,8,adequate,legacy-task-reference;custom-chronicle,Keep; review during 4.0 migration.
docs/BOUNDED_DISCOVERY.md,docs,31,103,4,adequate,,Keep; review during 4.0 migration.
docs/CHRONICLE_COMPACTION.md,docs,20,64,3,lightweight-policy,custom-chronicle,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/CHRONICLE_POLICY.md,docs,13,37,1,lightweight-policy,custom-chronicle,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/CODEX_DIAGNOSTIC_EXPORT_WSL.md,docs,84,272,7,adequate,legacy-task-reference,Keep; review during 4.0 migration.
docs/COMPLEXITY_MODEL.md,docs,18,137,3,lightweight-policy,,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/CONTENT_REALISM.md,docs,35,118,4,adequate,,Keep; review during 4.0 migration.
docs/CONTEXT_BUDGET_POLICY.md,docs,70,292,10,adequate,custom-chronicle,Keep; review during 4.0 migration.
docs/CREATIVE_METHODS.md,docs,27,129,2,adequate,,Keep; review during 4.0 migration.
docs/CREATIVE_TENSION.md,docs,62,244,18,adequate,,Keep; review during 4.0 migration.
docs/DEBUG_CONTROL_GATE.md,docs,34,116,5,adequate,,Keep; review during 4.0 migration.
docs/DESIGN_HANDOFF_QA.md,docs,23,130,3,adequate,,Keep; review during 4.0 migration.
docs/DESIGN_RECON.md,docs,39,162,4,adequate,,Keep; review during 4.0 migration.
docs/DESIGN_SOURCE_AUTHORITY.md,docs,46,246,6,adequate,,Keep; review during 4.0 migration.
docs/DESIGN_SYSTEM_MODES.md,docs,48,249,10,adequate,,Keep; review during 4.0 migration.
docs/EVIDENCE_POLICY.md,docs,10,38,1,thin-policy,very-thin,"Clarify decision logic, triggers, evidence, exceptions, and interaction with related policies."
docs/EXPECTATION_ANTICIPATION.md,docs,71,324,13,adequate,custom-chronicle,Keep; review during 4.0 migration.
docs/EXTERNAL_EVIDENCE_PROTOCOL.md,docs,7,29,1,thin-policy,very-thin,"Clarify decision logic, triggers, evidence, exceptions, and interaction with related policies."
docs/FAST_LANE.md,docs,14,59,2,lightweight-policy,,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/FRAMEWORK_LOADING_POLICY.md,docs,28,112,5,adequate,,Keep; review during 4.0 migration.
docs/GLOSSARY.md,docs,10,51,1,thin-policy,very-thin,"Clarify decision logic, triggers, evidence, exceptions, and interaction with related policies."
docs/GREENFIELD_PRODUCT_MODE.md,docs,31,103,4,adequate,,Keep; review during 4.0 migration.
docs/IMPACT_MAP_PROTOCOL.md,docs,21,64,3,adequate,,Keep; review during 4.0 migration.
docs/KNOWLEDGE_MAP_POLICY.md,docs,30,114,4,adequate,,Keep; review during 4.0 migration.
docs/LANGUAGE_POLICY.md,docs,7,63,1,thin-policy,very-thin,"Clarify decision logic, triggers, evidence, exceptions, and interaction with related policies."
docs/MANIFEST_FREEZE_POLICY.md,docs,40,161,4,adequate,,Keep; review during 4.0 migration.
docs/MODULE_DESIGN.md,docs,34,134,20,adequate,,Keep; review during 4.0 migration.
docs/NEW_TASK_PROTOCOL.md,docs,18,87,2,lightweight-policy,custom-chronicle,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/OPERATIONAL_UI_WORKFLOWS.md,docs,51,182,5,adequate,,Keep; review during 4.0 migration.
docs/OPPORTUNITY_EVENTS.md,docs,30,153,3,adequate,,Keep; review during 4.0 migration.
docs/ORCHESTRATION_APPROVAL_POLICY.md,docs,23,78,4,adequate,,Keep; review during 4.0 migration.
docs/OWNERSHIP_MATRIX.md,docs,19,79,1,underdeveloped,,Does not fully integrate frontend_engineer and many 3.0 responsibilities.
docs/PHASED_ORCHESTRATION.md,docs,47,244,10,adequate,,Keep; review during 4.0 migration.
docs/PROACTIVE_PROPOSALS.md,docs,40,191,6,adequate,,Keep; review during 4.0 migration.
docs/PRODUCTION_READINESS_GATES.md,docs,49,190,11,adequate,,Keep; review during 4.0 migration.
docs/PRODUCT_KNOWLEDGE_SYSTEM.md,docs,50,206,6,adequate,,Keep; review during 4.0 migration.
docs/PRODUCT_ONBOARDING.md,docs,25,121,4,adequate,custom-chronicle,Keep; review during 4.0 migration.
docs/PROMPT_RECIPES.md,docs,10,98,4,thin-policy,custom-chronicle;very-thin,"Clarify decision logic, triggers, evidence, exceptions, and interaction with related policies."
docs/PROTOTYPE_UI_KIT.md,docs,31,121,16,adequate,,Keep; review during 4.0 migration.
docs/QUALITY_GATES.md,docs,40,158,6,adequate,,Keep; review during 4.0 migration.
docs/QUESTION_TREE.md,docs,37,201,7,adequate,,Keep; review during 4.0 migration.
docs/REDESIGN_MIGRATION_MODE.md,docs,19,65,3,lightweight-policy,,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/REFERENCE_FIDELITY.md,docs,80,357,7,adequate,,Keep; review during 4.0 migration.
docs/RELEASE_NOTES_3.0.md,docs,13,72,2,lightweight-policy,,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/RELEASE_NOTES_3.0_BETA2.md,docs,19,157,4,lightweight-policy,,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/REPO_RECON.md,docs,13,34,1,lightweight-policy,,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/REVIEW_LEVELS.md,docs,8,49,1,thin-policy,very-thin,"Clarify decision logic, triggers, evidence, exceptions, and interaction with related policies."
docs/RISK_POLICY.md,docs,10,65,1,thin-policy,very-thin,"Clarify decision logic, triggers, evidence, exceptions, and interaction with related policies."
docs/ROLE_METHOD_LIBRARY.md,docs,21,135,7,critical-thin,,Covers only six roles and one-line method chains; insufficient for 50-role expertise.
docs/ROLE_OUTPUT_SCHEMAS.md,docs,17,35,1,critical-thin,,Generic schema only; lacks typed outputs for most roles.
docs/ROLE_ROUTING_MATRIX.md,docs,76,507,9,adequate,custom-chronicle,Keep; review during 4.0 migration.
docs/ROLE_SERVICE_BUDGET.md,docs,13,88,3,lightweight-policy,,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/ROLE_SKILL_ARCHITECTURE.md,docs,36,118,4,adequate,,Keep; review during 4.0 migration.
docs/RUNTIME_DECISION_TREE.md,docs,14,90,1,lightweight-policy,custom-chronicle,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/RUNTIME_LOAD_POLICY.md,docs,58,244,7,underdeveloped,custom-chronicle,Duplicates startup rules and contains at least one broken reference.
docs/SCREENSHOT_VISUAL_GATE.md,docs,38,147,5,adequate,,Keep; review during 4.0 migration.
docs/SKILL_DISCOVERY_POLICY.md,docs,58,234,8,adequate,,Keep; review during 4.0 migration.
docs/SKILL_ROUTING_MATRIX.md,docs,74,309,7,adequate,,Keep; review during 4.0 migration.
docs/SUBAGENT_FAILURE_POLICY.md,docs,48,247,8,adequate,,Keep; review during 4.0 migration.
docs/SUBAGENT_ORCHESTRATION.md,docs,85,442,10,conflicted,custom-chronicle,Contains wait-for-all language alongside no-indefinite-wait failure policy.
docs/SUBAGENT_PROMPT_RECIPES.md,docs,32,150,4,adequate,,Keep; review during 4.0 migration.
