source_skill,target_skill,target_plugin,disposition,migration_note
accessibility-check,cpt-accessibility-review,cpt-design-ui,merged_rewritten,Use $cpt-accessibility-review; the legacy skill is not activated in 4.0.
ai-ml-planning,cpt-ai-system-plan,cpt-ai-agentic,merged_rewritten,Use $cpt-ai-system-plan; the legacy skill is not activated in 4.0.
ai-safety-review,cpt-ai-safety-review,cpt-ai-agentic,retained_rewritten,Use $cpt-ai-safety-review; the legacy skill is not activated in 4.0.
analytics-planning,cpt-analytics-measurement,cpt-product-research,merged_rewritten,Use $cpt-analytics-measurement; the legacy skill is not activated in 4.0.
anticipation-radar,cpt-opportunity-ideation,cpt-product-research,merged_rewritten,Use $cpt-opportunity-ideation; the legacy skill is not activated in 4.0.
api-contract-review,cpt-api-contract,cpt-engineering,merged_rewritten,Use $cpt-api-contract; the legacy skill is not activated in 4.0.
api-data-shape-prewarm,cpt-api-contract,cpt-engineering,merged_rewritten,Use $cpt-api-contract; the legacy skill is not activated in 4.0.
architecture-planning,cpt-architecture-plan,cpt-engineering,merged_rewritten,Use $cpt-architecture-plan; the legacy skill is not activated in 4.0.
bounded-discovery,cpt-task-planning,cpt-core,merged_rewritten,Use $cpt-task-planning; the legacy skill is not activated in 4.0.
chronicle-compaction,cpt-runtime,cpt-core,merged_rewritten,Use $cpt-runtime; the legacy skill is not activated in 4.0.
component-contract-scan,cpt-design-system-code-audit,cpt-design-ui,merged_rewritten,Use $cpt-design-system-code-audit; the legacy skill is not activated in 4.0.
content-pattern-review,cpt-content-design,cpt-design-ui,merged_rewritten,Use $cpt-content-design; the legacy skill is not activated in 4.0.
content-realism-review,cpt-content-design,cpt-design-ui,merged_rewritten,Use $cpt-content-design; the legacy skill is not activated in 4.0.
context-prune,cpt-runtime,cpt-core,merged_rewritten,Use $cpt-runtime; the legacy skill is not activated in 4.0.
context-snapshot,cpt-runtime,cpt-core,merged_rewritten,Use $cpt-runtime; the legacy skill is not activated in 4.0.
conversation-design,cpt-conversation-design,cpt-design-ui,retained_rewritten,Use $cpt-conversation-design; the legacy skill is not activated in 4.0.
creative-improvement-loop,cpt-opportunity-ideation,cpt-product-research,merged_rewritten,Use $cpt-opportunity-ideation; the legacy skill is not activated in 4.0.
creative-tension-review,cpt-opportunity-ideation,cpt-product-research,merged_rewritten,Use $cpt-opportunity-ideation; the legacy skill is not activated in 4.0.
current-page-ui-review,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten,Use $cpt-visual-acceptance-review; the legacy skill is not activated in 4.0.
customer-support-analysis,cpt-customer-journey,cpt-product-research,merged_rewritten,Use $cpt-customer-journey; the legacy skill is not activated in 4.0.
cx-journey-mapping,cpt-customer-journey,cpt-product-research,merged_rewritten,Use $cpt-customer-journey; the legacy skill is not activated in 4.0.
data-architecture-review,cpt-data-architecture,cpt-engineering,merged_rewritten,Use $cpt-data-architecture; the legacy skill is not activated in 4.0.
data-visualization-review,cpt-data-visualization-review,cpt-design-ui,retained_rewritten,Use $cpt-data-visualization-review; the legacy skill is not activated in 4.0.
